写入Crop表错误，variety序号为： 171   注册号为: 川审茶树2010 002
写入Crop表错误，variety序号为： 10206   注册号为: 晋审玉2009022
写入Crop表错误，variety序号为： 10252   注册号为: 晋审玉2007011
写入Crop表错误，variety序号为： 10357   注册号为: 晋审玉2007013
写入Crop表错误，variety序号为： 10362   注册号为: 晋审玉2008006
写入Crop表错误，variety序号为： 10366   注册号为: 晋审玉2009007
写入Crop表错误，variety序号为： 10368   注册号为: 晋审玉2009002
写入Crop表错误，variety序号为： 10429   注册号为: 鲁农审字[2004]007号
写入Crop表错误，variety序号为： 10527   注册号为: 晋审玉2009017
写入Crop表错误，variety序号为： 10532   注册号为: 晋审玉2008021
写入Crop表错误，variety序号为： 10534   注册号为: 晋审玉2007025
写入Crop表错误，variety序号为： 10573   注册号为: 宁审玉2010002
写入Crop表错误，variety序号为： 10758   注册号为: 晋审玉2009021
写入Crop表错误，variety序号为： 10942   注册号为: 晋审玉2009005
写入Crop表错误，variety序号为： 10958   注册号为: 晋审玉2007009
写入Crop表错误，variety序号为： 10961   注册号为: 晋审玉2008009
写入Crop表错误，variety序号为： 11235   注册号为: 晋审玉2007024
写入Crop表错误，variety序号为： 12489   注册号为: 滇引麦二号
写入Crop表错误，variety序号为： 14893   注册号为: 宁审玉2010006
写入Crop表错误，variety序号为： 15005   注册号为: 鲁农审（83）第5号
写入Crop表错误，variety序号为： 15083   注册号为: （90）鲁农审字第5号
写入Crop表错误，variety序号为： 15133   注册号为: （95）鲁农审字第3号
写入Crop表错误，variety序号为： 15323   注册号为: 晋审玉2007012
写入Crop表错误，variety序号为： 15324   注册号为: 晋审玉2007016
写入Crop表错误，variety序号为： 15325   注册号为: 晋审玉2007017
写入Crop表错误，variety序号为： 15326   注册号为: 晋审玉2008013
写入Crop表错误，variety序号为： 15327   注册号为: 晋审玉2009018
写入Crop表错误，variety序号为： 15412   注册号为: 晋审麦2009001
写入Crop表错误，variety序号为： 15414   注册号为: 晋审麦2009002
写入Crop表错误，variety序号为： 15416   注册号为: 晋审麦2009003
写入Crop表错误，variety序号为： 15418   注册号为: 晋审麦2009004
写入Crop表错误，variety序号为： 15420   注册号为: 晋审麦2009005
写入Crop表错误，variety序号为： 15422   注册号为: 晋审麦2009006
写入Crop表错误，variety序号为： 15424   注册号为: 晋审麦2009007
写入Crop表错误，variety序号为： 15426   注册号为: 晋审麦2009008
写入Crop表错误，variety序号为： 15428   注册号为: 晋审麦2009009
写入Crop表错误，variety序号为： 15430   注册号为: 晋审麦2009010
写入Crop表错误，variety序号为： 15432   注册号为: 晋审麦2009011
写入Crop表错误，variety序号为： 15434   注册号为: 晋审麦2009012
写入Crop表错误，variety序号为： 15436   注册号为: 晋审麦2009014
写入Crop表错误，variety序号为： 15438   注册号为: 晋审麦2010002
写入Crop表错误，variety序号为： 15440   注册号为: 晋审麦2011001
写入Crop表错误，variety序号为： 15442   注册号为: 晋审麦2011002
写入Crop表错误，variety序号为： 15444   注册号为: 晋审麦2011003
写入Crop表错误，variety序号为： 15446   注册号为: 晋审麦2011004
写入Crop表错误，variety序号为： 15448   注册号为: 晋审麦2011005
写入Crop表错误，variety序号为： 15450   注册号为: 晋审麦2011006
写入Crop表错误，variety序号为： 15468   注册号为: 晋审豆2010001
写入Crop表错误，variety序号为： 15470   注册号为: 晋审豆2010002
写入Crop表错误，variety序号为： 15472   注册号为: 晋审豆2010003
写入Crop表错误，variety序号为： 15474   注册号为: 晋审豆2010004
写入Crop表错误，variety序号为： 15476   注册号为: 晋审豆2011001
写入Crop表错误，variety序号为： 15478   注册号为: 晋审豆2011002
写入Crop表错误，variety序号为： 15492   注册号为: 晋审油2010001
写入Crop表错误，variety序号为： 15494   注册号为: 晋审油2010002
写入Crop表错误，variety序号为： 16209   注册号为: 甘认菜2011020
写入Crop表错误，variety序号为： 19366   注册号为: 国审稻2010037
写入Crop表错误，variety序号为： 20939   注册号为: 晋审稻2009001
写入Crop表错误，variety序号为： 20941   注册号为: 晋审稻2011001
写入Crop表错误，variety序号为： 21207   注册号为: 
写入Crop表错误，variety序号为： 24561   注册号为: 宁审豆2009006
写入Crop表错误，variety序号为： 25329   注册号为: 辽审玉[2000]80号
写入Crop表错误，variety序号为： 25332   注册号为: 辽审玉[2000]83号
